id,name,type,tactics,description,severity,cvss_score,cvss_vector
CVE-2022-3918,CVE-371,CVE,execution,Critical vulnerability in software 371 allowing remote exploitation.,critical,9.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
T8120,TTP-372,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 372.,critical,,
CVE-2021-7016,CVE-373,CVE,privilege-escalation,Critical vulnerability in software 373 allowing remote exploitation.,critical,9.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T3649,TTP-374,TTP,execution,Adversaries may perform malicious activity related to TTP 374.,medium,,
T2692,TTP-375,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 375.,high,,
T8526,TTP-376,TTP,discovery,Adversaries may perform malicious activity related to TTP 376.,critical,,
CVE-2020-5581,CVE-377,CVE,initial-access,Critical vulnerability in software 377 allowing remote exploitation.,high,8.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
CVE-2025-9815,CVE-378,CVE,execution,Critical vulnerability in software 378 allowing remote exploitation.,critical,9.3,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2024-8947,CVE-379,CVE,execution,Critical vulnerability in software 379 allowing remote exploitation.,critical,9.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T8379,TTP-380,TTP,impact,Adversaries may perform malicious activity related to TTP 380.,high,,
T5267,TTP-381,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 381.,high,,
T3260,TTP-382,TTP,persistence,Adversaries may perform malicious activity related to TTP 382.,high,,
T5555,TTP-383,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 383.,high,,
CVE-2021-3661,CVE-384,CVE,initial-access,Critical vulnerability in software 384 allowing remote exploitation.,critical,8.9,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2024-9998,CVE-385,CVE,initial-access,Critical vulnerability in software 385 allowing remote exploitation.,high,7.0,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2022-8964,CVE-386,CVE,privilege-escalation,Critical vulnerability in software 386 allowing remote exploitation.,high,8.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T8424,TTP-387,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 387.,high,,
CVE-2021-8945,CVE-388,CVE,privilege-escalation,Critical vulnerability in software 388 allowing remote exploitation.,critical,8.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2020-2108,CVE-389,CVE,privilege-escalation,Critical vulnerability in software 389 allowing remote exploitation.,high,8.3,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
CVE-2024-3583,CVE-390,CVE,initial-access,Critical vulnerability in software 390 allowing remote exploitation.,high,8.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
T2495,TTP-391,TTP,execution,Adversaries may perform malicious activity related to TTP 391.,high,,
CVE-2025-8035,CVE-392,CVE,execution,Critical vulnerability in software 392 allowing remote exploitation.,critical,7.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T1227,TTP-393,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 393.,critical,,
T7723,TTP-394,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 394.,medium,,
CVE-2021-9039,CVE-395,CVE,execution,Critical vulnerability in software 395 allowing remote exploitation.,high,8.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T9470,TTP-396,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 396.,critical,,
CVE-2024-3444,CVE-397,CVE,initial-access,Critical vulnerability in software 397 allowing remote exploitation.,high,8.0,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
T5478,TTP-398,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 398.,medium,,
CVE-2025-8137,CVE-399,CVE,privilege-escalation,Critical vulnerability in software 399 allowing remote exploitation.,critical,7.0,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2023-5545,CVE-400,CVE,execution,Critical vulnerability in software 400 allowing remote exploitation.,critical,7.6,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T3361,TTP-401,TTP,execution,Adversaries may perform malicious activity related to TTP 401.,medium,,
CVE-2023-3393,CVE-402,CVE,privilege-escalation,Critical vulnerability in software 402 allowing remote exploitation.,critical,9.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2022-7396,CVE-403,CVE,initial-access,Critical vulnerability in software 403 allowing remote exploitation.,high,7.0,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T1602,TTP-404,TTP,persistence,Adversaries may perform malicious activity related to TTP 404.,medium,,
T9313,TTP-405,TTP,impact,Adversaries may perform malicious activity related to TTP 405.,critical,,
CVE-2020-9538,CVE-406,CVE,initial-access,Critical vulnerability in software 406 allowing remote exploitation.,critical,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2021-1024,CVE-407,CVE,execution,Critical vulnerability in software 407 allowing remote exploitation.,critical,8.0,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2024-8517,CVE-408,CVE,execution,Critical vulnerability in software 408 allowing remote exploitation.,high,9.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2020-8546,CVE-409,CVE,initial-access,Critical vulnerability in software 409 allowing remote exploitation.,high,8.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
T8761,TTP-410,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 410.,critical,,
T7941,TTP-411,TTP,execution,Adversaries may perform malicious activity related to TTP 411.,medium,,
CVE-2025-9375,CVE-412,CVE,privilege-escalation,Critical vulnerability in software 412 allowing remote exploitation.,high,9.4,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2025-8300,CVE-413,CVE,privilege-escalation,Critical vulnerability in software 413 allowing remote exploitation.,critical,7.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T8541,TTP-414,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 414.,critical,,
T3111,TTP-415,TTP,persistence,Adversaries may perform malicious activity related to TTP 415.,critical,,
T5727,TTP-416,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 416.,critical,,
T1465,TTP-417,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 417.,medium,,
CVE-2024-8582,CVE-418,CVE,privilege-escalation,Critical vulnerability in software 418 allowing remote exploitation.,high,8.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
T6782,TTP-419,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 419.,critical,,
CVE-2024-6786,CVE-420,CVE,execution,Critical vulnerability in software 420 allowing remote exploitation.,high,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T2058,TTP-421,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 421.,medium,,
T9019,TTP-422,TTP,impact,Adversaries may perform malicious activity related to TTP 422.,high,,
T2752,TTP-423,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 423.,medium,,
T5587,TTP-424,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 424.,medium,,
CVE-2023-3287,CVE-425,CVE,initial-access,Critical vulnerability in software 425 allowing remote exploitation.,critical,9.9,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2021-8462,CVE-426,CVE,initial-access,Critical vulnerability in software 426 allowing remote exploitation.,critical,7.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T7201,TTP-427,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 427.,high,,
T6087,TTP-428,TTP,impact,Adversaries may perform malicious activity related to TTP 428.,high,,
T4938,TTP-429,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 429.,high,,
T8717,TTP-430,TTP,execution,Adversaries may perform malicious activity related to TTP 430.,critical,,
CVE-2023-2055,CVE-431,CVE,initial-access,Critical vulnerability in software 431 allowing remote exploitation.,critical,7.9,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T2903,TTP-432,TTP,execution,Adversaries may perform malicious activity related to TTP 432.,critical,,
CVE-2020-3228,CVE-433,CVE,initial-access,Critical vulnerability in software 433 allowing remote exploitation.,critical,8.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T5829,TTP-434,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 434.,high,,
CVE-2021-8623,CVE-435,CVE,initial-access,Critical vulnerability in software 435 allowing remote exploitation.,high,9.7,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
T9907,TTP-436,TTP,impact,Adversaries may perform malicious activity related to TTP 436.,high,,
CVE-2023-5430,CVE-437,CVE,initial-access,Critical vulnerability in software 437 allowing remote exploitation.,critical,8.2,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T6093,TTP-438,TTP,discovery,Adversaries may perform malicious activity related to TTP 438.,high,,
T3219,TTP-439,TTP,execution,Adversaries may perform malicious activity related to TTP 439.,critical,,
CVE-2021-1004,CVE-440,CVE,privilege-escalation,Critical vulnerability in software 440 allowing remote exploitation.,high,9.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2022-1756,CVE-441,CVE,privilege-escalation,Critical vulnerability in software 441 allowing remote exploitation.,critical,8.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
CVE-2024-2912,CVE-442,CVE,privilege-escalation,Critical vulnerability in software 442 allowing remote exploitation.,high,9.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T4721,TTP-443,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 443.,medium,,
T6958,TTP-444,TTP,discovery,Adversaries may perform malicious activity related to TTP 444.,high,,
T5967,TTP-445,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 445.,high,,
T8056,TTP-446,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 446.,high,,
CVE-2020-6574,CVE-447,CVE,execution,Critical vulnerability in software 447 allowing remote exploitation.,critical,8.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
T3107,TTP-448,TTP,execution,Adversaries may perform malicious activity related to TTP 448.,critical,,
T8290,TTP-449,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 449.,critical,,
CVE-2020-7532,CVE-450,CVE,privilege-escalation,Critical vulnerability in software 450 allowing remote exploitation.,high,10.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T8446,TTP-451,TTP,execution,Adversaries may perform malicious activity related to TTP 451.,critical,,
CVE-2020-7432,CVE-452,CVE,initial-access,Critical vulnerability in software 452 allowing remote exploitation.,critical,7.6,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H
T2901,TTP-453,TTP,execution,Adversaries may perform malicious activity related to TTP 453.,critical,,
CVE-2021-8055,CVE-454,CVE,privilege-escalation,Critical vulnerability in software 454 allowing remote exploitation.,critical,7.9,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2020-2664,CVE-455,CVE,privilege-escalation,Critical vulnerability in software 455 allowing remote exploitation.,critical,9.2,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T6602,TTP-456,TTP,impact,Adversaries may perform malicious activity related to TTP 456.,high,,
T2228,TTP-457,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 457.,high,,
T4915,TTP-458,TTP,persistence,Adversaries may perform malicious activity related to TTP 458.,high,,
T1587,TTP-459,TTP,persistence,Adversaries may perform malicious activity related to TTP 459.,high,,
CVE-2022-8442,CVE-460,CVE,initial-access,Critical vulnerability in software 460 allowing remote exploitation.,high,7.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
T2119,TTP-461,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 461.,high,,
CVE-2020-6722,CVE-462,CVE,execution,Critical vulnerability in software 462 allowing remote exploitation.,high,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T5522,TTP-463,TTP,impact,Adversaries may perform malicious activity related to TTP 463.,medium,,
CVE-2021-4642,CVE-464,CVE,privilege-escalation,Critical vulnerability in software 464 allowing remote exploitation.,high,7.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2022-2986,CVE-465,CVE,execution,Critical vulnerability in software 465 allowing remote exploitation.,critical,7.4,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2025-7963,CVE-466,CVE,execution,Critical vulnerability in software 466 allowing remote exploitation.,critical,8.0,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
T2610,TTP-467,TTP,discovery,Adversaries may perform malicious activity related to TTP 467.,high,,
T9365,TTP-468,TTP,execution,Adversaries may perform malicious activity related to TTP 468.,critical,,
CVE-2021-8443,CVE-469,CVE,execution,Critical vulnerability in software 469 allowing remote exploitation.,critical,9.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2022-1771,CVE-470,CVE,execution,Critical vulnerability in software 470 allowing remote exploitation.,critical,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T8106,TTP-471,TTP,impact,Adversaries may perform malicious activity related to TTP 471.,medium,,
CVE-2020-2132,CVE-472,CVE,privilege-escalation,Critical vulnerability in software 472 allowing remote exploitation.,critical,9.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H
CVE-2024-7442,CVE-473,CVE,initial-access,Critical vulnerability in software 473 allowing remote exploitation.,high,8.9,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T3995,TTP-474,TTP,impact,Adversaries may perform malicious activity related to TTP 474.,high,,
T2203,TTP-475,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 475.,critical,,
T9805,TTP-476,TTP,impact,Adversaries may perform malicious activity related to TTP 476.,high,,
T6564,TTP-477,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 477.,critical,,
CVE-2020-7989,CVE-478,CVE,execution,Critical vulnerability in software 478 allowing remote exploitation.,critical,9.3,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T5375,TTP-479,TTP,execution,Adversaries may perform malicious activity related to TTP 479.,high,,
CVE-2024-6145,CVE-480,CVE,initial-access,Critical vulnerability in software 480 allowing remote exploitation.,high,8.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T2522,TTP-481,TTP,discovery,Adversaries may perform malicious activity related to TTP 481.,medium,,
CVE-2020-4031,CVE-482,CVE,initial-access,Critical vulnerability in software 482 allowing remote exploitation.,high,8.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T3555,TTP-483,TTP,execution,Adversaries may perform malicious activity related to TTP 483.,high,,
CVE-2023-3302,CVE-484,CVE,privilege-escalation,Critical vulnerability in software 484 allowing remote exploitation.,high,8.2,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
T4048,TTP-485,TTP,execution,Adversaries may perform malicious activity related to TTP 485.,high,,
T8994,TTP-486,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 486.,medium,,
CVE-2024-8012,CVE-487,CVE,initial-access,Critical vulnerability in software 487 allowing remote exploitation.,critical,9.9,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
CVE-2025-4681,CVE-488,CVE,initial-access,Critical vulnerability in software 488 allowing remote exploitation.,high,9.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T8040,TTP-489,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 489.,medium,,
T3106,TTP-490,TTP,execution,Adversaries may perform malicious activity related to TTP 490.,high,,
T7777,TTP-491,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 491.,high,,
CVE-2022-2762,CVE-492,CVE,execution,Critical vulnerability in software 492 allowing remote exploitation.,critical,9.0,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2025-5404,CVE-493,CVE,privilege-escalation,Critical vulnerability in software 493 allowing remote exploitation.,critical,8.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2022-5524,CVE-494,CVE,privilege-escalation,Critical vulnerability in software 494 allowing remote exploitation.,critical,9.3,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
T2640,TTP-495,TTP,impact,Adversaries may perform malicious activity related to TTP 495.,medium,,
T3365,TTP-496,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 496.,medium,,
CVE-2020-4859,CVE-497,CVE,execution,Critical vulnerability in software 497 allowing remote exploitation.,high,7.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2020-1795,CVE-498,CVE,initial-access,Critical vulnerability in software 498 allowing remote exploitation.,high,8.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
CVE-2023-3784,CVE-499,CVE,privilege-escalation,Critical vulnerability in software 499 allowing remote exploitation.,critical,9.4,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2022-3238,CVE-500,CVE,privilege-escalation,Critical vulnerability in software 500 allowing remote exploitation.,high,8.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
CVE-2020-8189,CVE-501,CVE,execution,Critical vulnerability in software 501 allowing remote exploitation.,high,7.9,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
CVE-2020-3108,CVE-502,CVE,initial-access,Critical vulnerability in software 502 allowing remote exploitation.,high,8.7,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T9795,TTP-503,TTP,impact,Adversaries may perform malicious activity related to TTP 503.,medium,,
CVE-2024-3659,CVE-504,CVE,execution,Critical vulnerability in software 504 allowing remote exploitation.,critical,8.2,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
T6121,TTP-505,TTP,impact,Adversaries may perform malicious activity related to TTP 505.,critical,,
T9925,TTP-506,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 506.,critical,,
CVE-2025-9208,CVE-507,CVE,execution,Critical vulnerability in software 507 allowing remote exploitation.,high,8.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T3477,TTP-508,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 508.,critical,,
CVE-2023-3541,CVE-509,CVE,privilege-escalation,Critical vulnerability in software 509 allowing remote exploitation.,high,9.4,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
T1611,TTP-510,TTP,execution,Adversaries may perform malicious activity related to TTP 510.,critical,,
T2632,TTP-511,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 511.,critical,,
CVE-2023-9047,CVE-512,CVE,privilege-escalation,Critical vulnerability in software 512 allowing remote exploitation.,critical,7.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T3834,TTP-513,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 513.,high,,
T2230,TTP-514,TTP,persistence,Adversaries may perform malicious activity related to TTP 514.,high,,
CVE-2020-7851,CVE-515,CVE,privilege-escalation,Critical vulnerability in software 515 allowing remote exploitation.,critical,7.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2025-7345,CVE-516,CVE,privilege-escalation,Critical vulnerability in software 516 allowing remote exploitation.,critical,8.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2022-6656,CVE-517,CVE,privilege-escalation,Critical vulnerability in software 517 allowing remote exploitation.,high,9.6,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
T4867,TTP-518,TTP,discovery,Adversaries may perform malicious activity related to TTP 518.,high,,
CVE-2021-2075,CVE-519,CVE,privilege-escalation,Critical vulnerability in software 519 allowing remote exploitation.,high,9.6,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T1959,TTP-520,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 520.,high,,
CVE-2021-9429,CVE-521,CVE,initial-access,Critical vulnerability in software 521 allowing remote exploitation.,critical,8.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T2719,TTP-522,TTP,persistence,Adversaries may perform malicious activity related to TTP 522.,critical,,
T2653,TTP-523,TTP,impact,Adversaries may perform malicious activity related to TTP 523.,critical,,
CVE-2024-7695,CVE-524,CVE,execution,Critical vulnerability in software 524 allowing remote exploitation.,critical,9.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T8299,TTP-525,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 525.,medium,,
T5299,TTP-526,TTP,discovery,Adversaries may perform malicious activity related to TTP 526.,high,,
T7486,TTP-527,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 527.,medium,,
T7238,TTP-528,TTP,execution,Adversaries may perform malicious activity related to TTP 528.,critical,,
T3341,TTP-529,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 529.,critical,,
CVE-2024-5914,CVE-530,CVE,initial-access,Critical vulnerability in software 530 allowing remote exploitation.,critical,9.0,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H
T8243,TTP-531,TTP,impact,Adversaries may perform malicious activity related to TTP 531.,medium,,
CVE-2022-6951,CVE-532,CVE,execution,Critical vulnerability in software 532 allowing remote exploitation.,critical,7.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2023-1348,CVE-533,CVE,initial-access,Critical vulnerability in software 533 allowing remote exploitation.,high,7.4,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
T4026,TTP-534,TTP,persistence,Adversaries may perform malicious activity related to TTP 534.,high,,
CVE-2024-2360,CVE-535,CVE,execution,Critical vulnerability in software 535 allowing remote exploitation.,high,8.7,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2020-3789,CVE-536,CVE,privilege-escalation,Critical vulnerability in software 536 allowing remote exploitation.,critical,9.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2023-9749,CVE-537,CVE,privilege-escalation,Critical vulnerability in software 537 allowing remote exploitation.,critical,9.8,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2024-5805,CVE-538,CVE,initial-access,Critical vulnerability in software 538 allowing remote exploitation.,critical,8.0,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
CVE-2020-6600,CVE-539,CVE,privilege-escalation,Critical vulnerability in software 539 allowing remote exploitation.,critical,8.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
T3209,TTP-540,TTP,discovery,Adversaries may perform malicious activity related to TTP 540.,medium,,
CVE-2024-1772,CVE-541,CVE,initial-access,Critical vulnerability in software 541 allowing remote exploitation.,critical,9.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
T2541,TTP-542,TTP,execution,Adversaries may perform malicious activity related to TTP 542.,critical,,
T5181,TTP-543,TTP,execution,Adversaries may perform malicious activity related to TTP 543.,critical,,
T3419,TTP-544,TTP,discovery,Adversaries may perform malicious activity related to TTP 544.,medium,,
T8881,TTP-545,TTP,discovery,Adversaries may perform malicious activity related to TTP 545.,high,,
T9087,TTP-546,TTP,execution,Adversaries may perform malicious activity related to TTP 546.,high,,
T4872,TTP-547,TTP,persistence,Adversaries may perform malicious activity related to TTP 547.,critical,,
T3522,TTP-548,TTP,defense-evasion,Adversaries may perform malicious activity related to TTP 548.,high,,
CVE-2022-4096,CVE-549,CVE,execution,Critical vulnerability in software 549 allowing remote exploitation.,critical,7.9,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2024-3576,CVE-550,CVE,privilege-escalation,Critical vulnerability in software 550 allowing remote exploitation.,critical,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T4012,TTP-551,TTP,impact,Adversaries may perform malicious activity related to TTP 551.,critical,,
T5130,TTP-552,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 552.,medium,,
T1262,TTP-553,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 553.,high,,
CVE-2023-8133,CVE-554,CVE,privilege-escalation,Critical vulnerability in software 554 allowing remote exploitation.,high,9.4,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2020-5648,CVE-555,CVE,privilege-escalation,Critical vulnerability in software 555 allowing remote exploitation.,high,8.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H
CVE-2024-3765,CVE-556,CVE,privilege-escalation,Critical vulnerability in software 556 allowing remote exploitation.,high,7.2,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H
T9830,TTP-557,TTP,persistence,Adversaries may perform malicious activity related to TTP 557.,high,,
CVE-2025-7364,CVE-558,CVE,privilege-escalation,Critical vulnerability in software 558 allowing remote exploitation.,critical,8.7,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:H/A:H
CVE-2022-5996,CVE-559,CVE,privilege-escalation,Critical vulnerability in software 559 allowing remote exploitation.,high,7.7,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H
CVE-2025-7091,CVE-560,CVE,execution,Critical vulnerability in software 560 allowing remote exploitation.,high,8.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H
CVE-2022-7916,CVE-561,CVE,privilege-escalation,Critical vulnerability in software 561 allowing remote exploitation.,critical,9.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H
T5459,TTP-562,TTP,lateral-movement,Adversaries may perform malicious activity related to TTP 562.,critical,,
CVE-2025-8718,CVE-563,CVE,initial-access,Critical vulnerability in software 563 allowing remote exploitation.,critical,9.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
