source,target,type,impact_score,mitigation
CVE-2020-3311,IT-04843,TARGETS,0.71,Isoler IT-04843 et appliquer les correctifs pour CVE-2020-3311.
T1020,IT-09158,TARGETS,0.83,Isoler IT-09158 et appliquer les correctifs pour T1020.
CVE-2025-6270,IT-05247,TARGETS,0.53,Isoler IT-05247 et appliquer les correctifs pour CVE-2025-6270.
CVE-2024-7442,IT-00492,TARGETS,0.97,Isoler IT-00492 et appliquer les correctifs pour CVE-2024-7442.
CVE-2023-5831,IT-07733,TARGETS,0.97,Isoler IT-07733 et appliquer les correctifs pour CVE-2023-5831.
T6783,IT-05485,TARGETS,0.92,Isoler IT-05485 et appliquer les correctifs pour T6783.
CVE-2025-9346,IT-08401,TARGETS,0.54,Isoler IT-08401 et appliquer les correctifs pour CVE-2025-9346.
T2653,IT-09184,TARGETS,0.57,Isoler IT-09184 et appliquer les correctifs pour T2653.
T6093,IT-01566,TARGETS,0.67,Isoler IT-01566 et appliquer les correctifs pour T6093.
CVE-2025-1196,IT-02035,TARGETS,0.72,Isoler IT-02035 et appliquer les correctifs pour CVE-2025-1196.
CVE-2021-1819,IT-08411,TARGETS,0.54,Isoler IT-08411 et appliquer les correctifs pour CVE-2021-1819.
T9853,IT-06721,TARGETS,0.88,Isoler IT-06721 et appliquer les correctifs pour T9853.
CVE-2024-8848,IT-05660,TARGETS,0.77,Isoler IT-05660 et appliquer les correctifs pour CVE-2024-8848.
T9087,IT-06767,TARGETS,0.76,Isoler IT-06767 et appliquer les correctifs pour T9087.
T5599,IT-00957,TARGETS,0.52,Isoler IT-00957 et appliquer les correctifs pour T5599.
CVE-2020-2664,IT-02262,TARGETS,0.67,Isoler IT-02262 et appliquer les correctifs pour CVE-2020-2664.
CVE-2020-7762,IT-02573,TARGETS,0.78,Isoler IT-02573 et appliquer les correctifs pour CVE-2020-7762.
T7001,IT-09461,TARGETS,0.59,Isoler IT-09461 et appliquer les correctifs pour T7001.
CVE-2022-3521,IT-00350,TARGETS,0.85,Isoler IT-00350 et appliquer les correctifs pour CVE-2022-3521.
T5057,IT-03143,TARGETS,0.64,Isoler IT-03143 et appliquer les correctifs pour T5057.
CVE-2020-3228,IT-03311,TARGETS,0.76,Isoler IT-03311 et appliquer les correctifs pour CVE-2020-3228.
T4630,IT-05699,TARGETS,0.67,Isoler IT-05699 et appliquer les correctifs pour T4630.
T4872,IT-06194,TARGETS,0.93,Isoler IT-06194 et appliquer les correctifs pour T4872.
T2917,IT-06448,TARGETS,0.91,Isoler IT-06448 et appliquer les correctifs pour T2917.
CVE-2025-1983,IT-02280,TARGETS,0.74,Isoler IT-02280 et appliquer les correctifs pour CVE-2025-1983.
T1227,IT-09605,TARGETS,0.87,Isoler IT-09605 et appliquer les correctifs pour T1227.
T9697,IT-04359,TARGETS,0.99,Isoler IT-04359 et appliquer les correctifs pour T9697.
T9313,IT-05363,TARGETS,0.63,Isoler IT-05363 et appliquer les correctifs pour T9313.
CVE-2025-3953,IT-05905,TARGETS,0.8,Isoler IT-05905 et appliquer les correctifs pour CVE-2025-3953.
CVE-2023-3287,IT-06645,TARGETS,0.8,Isoler IT-06645 et appliquer les correctifs pour CVE-2023-3287.
T4866,IT-00493,TARGETS,0.81,Isoler IT-00493 et appliquer les correctifs pour T4866.
T6355,IT-00095,TARGETS,0.92,Isoler IT-00095 et appliquer les correctifs pour T6355.
T2798,IT-02674,TARGETS,0.7,Isoler IT-02674 et appliquer les correctifs pour T2798.
T6620,IT-03730,TARGETS,0.6,Isoler IT-03730 et appliquer les correctifs pour T6620.
T5587,IT-03342,TARGETS,0.6,Isoler IT-03342 et appliquer les correctifs pour T5587.
CVE-2021-8064,IT-02591,TARGETS,0.84,Isoler IT-02591 et appliquer les correctifs pour CVE-2021-8064.
CVE-2022-9267,IT-07430,TARGETS,0.55,Isoler IT-07430 et appliquer les correctifs pour CVE-2022-9267.
T1429,IT-07502,TARGETS,0.63,Isoler IT-07502 et appliquer les correctifs pour T1429.
T2129,IT-08793,TARGETS,0.97,Isoler IT-08793 et appliquer les correctifs pour T2129.
T4666,IT-06883,TARGETS,0.93,Isoler IT-06883 et appliquer les correctifs pour T4666.
CVE-2024-3072,IT-09071,TARGETS,0.67,Isoler IT-09071 et appliquer les correctifs pour CVE-2024-3072.
CVE-2020-7038,IT-02863,TARGETS,0.52,Isoler IT-02863 et appliquer les correctifs pour CVE-2020-7038.
CVE-2024-1623,IT-06437,TARGETS,0.76,Isoler IT-06437 et appliquer les correctifs pour CVE-2024-1623.
T4705,IT-05480,TARGETS,0.87,Isoler IT-05480 et appliquer les correctifs pour T4705.
T3419,IT-04371,TARGETS,0.94,Isoler IT-04371 et appliquer les correctifs pour T3419.
T5829,IT-06300,TARGETS,0.77,Isoler IT-06300 et appliquer les correctifs pour T5829.
T5057,IT-02291,TARGETS,0.75,Isoler IT-02291 et appliquer les correctifs pour T5057.
CVE-2022-3238,IT-07495,TARGETS,0.67,Isoler IT-07495 et appliquer les correctifs pour CVE-2022-3238.
CVE-2024-2110,IT-02734,TARGETS,0.86,Isoler IT-02734 et appliquer les correctifs pour CVE-2024-2110.
CVE-2022-6900,IT-06736,TARGETS,0.84,Isoler IT-06736 et appliquer les correctifs pour CVE-2022-6900.
CVE-2022-4419,IT-03846,TARGETS,0.86,Isoler IT-03846 et appliquer les correctifs pour CVE-2022-4419.
T3608,IT-00402,TARGETS,0.57,Isoler IT-00402 et appliquer les correctifs pour T3608.
T1870,IT-02068,TARGETS,0.68,Isoler IT-02068 et appliquer les correctifs pour T1870.
CVE-2022-3918,IT-03699,TARGETS,0.64,Isoler IT-03699 et appliquer les correctifs pour CVE-2022-3918.
CVE-2022-2409,IT-01867,TARGETS,0.57,Isoler IT-01867 et appliquer les correctifs pour CVE-2022-2409.
T7862,IT-08211,TARGETS,0.65,Isoler IT-08211 et appliquer les correctifs pour T7862.
T4095,IT-01969,TARGETS,0.71,Isoler IT-01969 et appliquer les correctifs pour T4095.
CVE-2025-6902,IT-06031,TARGETS,0.51,Isoler IT-06031 et appliquer les correctifs pour CVE-2025-6902.
CVE-2020-7895,IT-09514,TARGETS,0.64,Isoler IT-09514 et appliquer les correctifs pour CVE-2020-7895.
CVE-2024-8582,IT-04652,TARGETS,0.56,Isoler IT-04652 et appliquer les correctifs pour CVE-2024-8582.
T1101,IT-02015,TARGETS,0.81,Isoler IT-02015 et appliquer les correctifs pour T1101.
T4872,IT-00584,TARGETS,0.56,Isoler IT-00584 et appliquer les correctifs pour T4872.
CVE-2022-8964,IT-02622,TARGETS,0.99,Isoler IT-02622 et appliquer les correctifs pour CVE-2022-8964.
CVE-2025-1913,IT-08513,TARGETS,0.61,Isoler IT-08513 et appliquer les correctifs pour CVE-2025-1913.
CVE-2021-8129,IT-05569,TARGETS,0.92,Isoler IT-05569 et appliquer les correctifs pour CVE-2021-8129.
CVE-2020-4341,IT-00703,TARGETS,0.64,Isoler IT-00703 et appliquer les correctifs pour CVE-2020-4341.
T3371,IT-07915,TARGETS,0.67,Isoler IT-07915 et appliquer les correctifs pour T3371.
T5078,IT-00357,TARGETS,0.66,Isoler IT-00357 et appliquer les correctifs pour T5078.
CVE-2025-5689,IT-08590,TARGETS,0.83,Isoler IT-08590 et appliquer les correctifs pour CVE-2025-5689.
CVE-2025-9208,IT-07523,TARGETS,0.94,Isoler IT-07523 et appliquer les correctifs pour CVE-2025-9208.
T8813,IT-02549,TARGETS,0.78,Isoler IT-02549 et appliquer les correctifs pour T8813.
CVE-2025-1306,IT-04255,TARGETS,0.82,Isoler IT-04255 et appliquer les correctifs pour CVE-2025-1306.
T1549,IT-00531,TARGETS,0.65,Isoler IT-00531 et appliquer les correctifs pour T1549.
CVE-2020-4859,IT-05684,TARGETS,0.52,Isoler IT-05684 et appliquer les correctifs pour CVE-2020-4859.
T3915,IT-01593,TARGETS,0.77,Isoler IT-01593 et appliquer les correctifs pour T3915.
T8553,IT-07858,TARGETS,0.52,Isoler IT-07858 et appliquer les correctifs pour T8553.
CVE-2020-8546,IT-03144,TARGETS,0.8,Isoler IT-03144 et appliquer les correctifs pour CVE-2020-8546.
CVE-2020-8276,IT-03888,TARGETS,0.74,Isoler IT-03888 et appliquer les correctifs pour CVE-2020-8276.
CVE-2022-1771,IT-02806,TARGETS,0.84,Isoler IT-02806 et appliquer les correctifs pour CVE-2022-1771.
T1296,IT-08607,TARGETS,0.56,Isoler IT-08607 et appliquer les correctifs pour T1296.
CVE-2024-5807,IT-06293,TARGETS,0.9,Isoler IT-06293 et appliquer les correctifs pour CVE-2024-5807.
T8271,IT-07955,TARGETS,0.84,Isoler IT-07955 et appliquer les correctifs pour T8271.
T8272,IT-02028,TARGETS,0.96,Isoler IT-02028 et appliquer les correctifs pour T8272.
T8003,IT-02752,TARGETS,0.79,Isoler IT-02752 et appliquer les correctifs pour T8003.
T6093,IT-08098,TARGETS,0.93,Isoler IT-08098 et appliquer les correctifs pour T6093.
CVE-2020-4341,IT-08780,TARGETS,0.67,Isoler IT-08780 et appliquer les correctifs pour CVE-2020-4341.
T2067,IT-09683,TARGETS,0.82,Isoler IT-09683 et appliquer les correctifs pour T2067.
CVE-2025-2184,IT-04183,TARGETS,0.82,Isoler IT-04183 et appliquer les correctifs pour CVE-2025-2184.
CVE-2025-6277,IT-00533,TARGETS,0.76,Isoler IT-00533 et appliquer les correctifs pour CVE-2025-6277.
T2763,IT-04353,TARGETS,0.92,Isoler IT-04353 et appliquer les correctifs pour T2763.
T2657,IT-05907,TARGETS,0.58,Isoler IT-05907 et appliquer les correctifs pour T2657.
T3300,IT-09408,TARGETS,0.62,Isoler IT-09408 et appliquer les correctifs pour T3300.
T5122,IT-03359,TARGETS,0.81,Isoler IT-03359 et appliquer les correctifs pour T5122.
CVE-2024-4695,IT-05516,TARGETS,0.94,Isoler IT-05516 et appliquer les correctifs pour CVE-2024-4695.
T3608,IT-05473,TARGETS,0.82,Isoler IT-05473 et appliquer les correctifs pour T3608.
T2712,IT-03657,TARGETS,0.72,Isoler IT-03657 et appliquer les correctifs pour T2712.
CVE-2025-6403,IT-07509,TARGETS,0.53,Isoler IT-07509 et appliquer les correctifs pour CVE-2025-6403.
CVE-2022-5169,IT-03427,TARGETS,0.58,Isoler IT-03427 et appliquer les correctifs pour CVE-2022-5169.
T6816,IT-04180,TARGETS,0.78,Isoler IT-04180 et appliquer les correctifs pour T6816.
T8446,IT-03874,TARGETS,0.59,Isoler IT-03874 et appliquer les correctifs pour T8446.
CVE-2023-4048,IT-05521,TARGETS,0.55,Isoler IT-05521 et appliquer les correctifs pour CVE-2023-4048.
T2817,IT-09551,TARGETS,0.67,Isoler IT-09551 et appliquer les correctifs pour T2817.
T3639,IT-03851,TARGETS,0.74,Isoler IT-03851 et appliquer les correctifs pour T3639.
T3154,IT-01787,TARGETS,0.85,Isoler IT-01787 et appliquer les correctifs pour T3154.
CVE-2020-3108,IT-05517,TARGETS,0.53,Isoler IT-05517 et appliquer les correctifs pour CVE-2020-3108.
CVE-2021-1638,IT-02431,TARGETS,0.78,Isoler IT-02431 et appliquer les correctifs pour CVE-2021-1638.
T9231,IT-04328,TARGETS,0.98,Isoler IT-04328 et appliquer les correctifs pour T9231.
CVE-2024-1362,IT-04223,TARGETS,0.94,Isoler IT-04223 et appliquer les correctifs pour CVE-2024-1362.
T8056,IT-03441,TARGETS,0.88,Isoler IT-03441 et appliquer les correctifs pour T8056.
T4949,IT-09032,TARGETS,0.88,Isoler IT-09032 et appliquer les correctifs pour T4949.
T6582,IT-07849,TARGETS,0.97,Isoler IT-07849 et appliquer les correctifs pour T6582.
T2418,IT-08593,TARGETS,0.88,Isoler IT-08593 et appliquer les correctifs pour T2418.
T2077,IT-07676,TARGETS,0.95,Isoler IT-07676 et appliquer les correctifs pour T2077.
T6782,IT-02857,TARGETS,0.54,Isoler IT-02857 et appliquer les correctifs pour T6782.
T3111,IT-06431,TARGETS,1.0,Isoler IT-06431 et appliquer les correctifs pour T3111.
T8280,IT-01905,TARGETS,0.79,Isoler IT-01905 et appliquer les correctifs pour T8280.
CVE-2021-5065,IT-00039,TARGETS,0.89,Isoler IT-00039 et appliquer les correctifs pour CVE-2021-5065.
CVE-2020-3818,IT-05848,TARGETS,0.87,Isoler IT-05848 et appliquer les correctifs pour CVE-2020-3818.
T5108,IT-02350,TARGETS,0.62,Isoler IT-02350 et appliquer les correctifs pour T5108.
CVE-2022-1883,IT-02944,TARGETS,0.55,Isoler IT-02944 et appliquer les correctifs pour CVE-2022-1883.
CVE-2024-5694,IT-02748,TARGETS,0.71,Isoler IT-02748 et appliquer les correctifs pour CVE-2024-5694.
T9076,IT-03499,TARGETS,0.76,Isoler IT-03499 et appliquer les correctifs pour T9076.
T4504,IT-00219,TARGETS,0.97,Isoler IT-00219 et appliquer les correctifs pour T4504.
T4317,IT-07977,TARGETS,0.83,Isoler IT-07977 et appliquer les correctifs pour T4317.
CVE-2022-8689,IT-08122,TARGETS,0.87,Isoler IT-08122 et appliquer les correctifs pour CVE-2022-8689.
CVE-2022-1778,IT-02418,TARGETS,0.94,Isoler IT-02418 et appliquer les correctifs pour CVE-2022-1778.
CVE-2022-5169,IT-02131,TARGETS,0.82,Isoler IT-02131 et appliquer les correctifs pour CVE-2022-5169.
CVE-2024-2014,IT-04063,TARGETS,0.65,Isoler IT-04063 et appliquer les correctifs pour CVE-2024-2014.
CVE-2024-8012,IT-07282,TARGETS,0.98,Isoler IT-07282 et appliquer les correctifs pour CVE-2024-8012.
T7048,IT-05402,TARGETS,0.85,Isoler IT-05402 et appliquer les correctifs pour T7048.
CVE-2025-8718,IT-00420,TARGETS,0.72,Isoler IT-00420 et appliquer les correctifs pour CVE-2025-8718.
CVE-2024-7889,IT-09613,TARGETS,0.82,Isoler IT-09613 et appliquer les correctifs pour CVE-2024-7889.
T3156,IT-01254,TARGETS,0.77,Isoler IT-01254 et appliquer les correctifs pour T3156.
CVE-2024-8848,IT-00608,TARGETS,0.86,Isoler IT-00608 et appliquer les correctifs pour CVE-2024-8848.
CVE-2025-1306,IT-03486,TARGETS,0.59,Isoler IT-03486 et appliquer les correctifs pour CVE-2025-1306.
CVE-2023-7289,IT-09172,TARGETS,0.7,Isoler IT-09172 et appliquer les correctifs pour CVE-2023-7289.
CVE-2020-8189,IT-05627,TARGETS,0.81,Isoler IT-05627 et appliquer les correctifs pour CVE-2020-8189.
T5180,IT-03162,TARGETS,0.55,Isoler IT-03162 et appliquer les correctifs pour T5180.
T9925,IT-03861,TARGETS,0.87,Isoler IT-03861 et appliquer les correctifs pour T9925.
T8761,IT-01547,TARGETS,0.89,Isoler IT-01547 et appliquer les correctifs pour T8761.
CVE-2024-5237,IT-03040,TARGETS,0.97,Isoler IT-03040 et appliquer les correctifs pour CVE-2024-5237.
T9440,IT-00363,TARGETS,0.53,Isoler IT-00363 et appliquer les correctifs pour T9440.
CVE-2025-1306,IT-09568,TARGETS,0.92,Isoler IT-09568 et appliquer les correctifs pour CVE-2025-1306.
CVE-2021-8251,IT-08256,TARGETS,0.92,Isoler IT-08256 et appliquer les correctifs pour CVE-2021-8251.
CVE-2022-3893,IT-09634,TARGETS,0.75,Isoler IT-09634 et appliquer les correctifs pour CVE-2022-3893.
CVE-2021-2566,IT-04258,TARGETS,0.82,Isoler IT-04258 et appliquer les correctifs pour CVE-2021-2566.
CVE-2024-3765,IT-02272,TARGETS,0.86,Isoler IT-02272 et appliquer les correctifs pour CVE-2024-3765.
CVE-2024-1412,IT-00037,TARGETS,0.52,Isoler IT-00037 et appliquer les correctifs pour CVE-2024-1412.
T2310,IT-06124,TARGETS,0.77,Isoler IT-06124 et appliquer les correctifs pour T2310.
CVE-2021-5267,IT-03859,TARGETS,0.99,Isoler IT-03859 et appliquer les correctifs pour CVE-2021-5267.
CVE-2022-2981,IT-09597,TARGETS,0.99,Isoler IT-09597 et appliquer les correctifs pour CVE-2022-2981.
CVE-2025-9715,IT-07109,TARGETS,0.64,Isoler IT-07109 et appliquer les correctifs pour CVE-2025-9715.
CVE-2023-2394,IT-09617,TARGETS,0.78,Isoler IT-09617 et appliquer les correctifs pour CVE-2023-2394.
CVE-2021-8477,IT-07510,TARGETS,0.64,Isoler IT-07510 et appliquer les correctifs pour CVE-2021-8477.
T1967,IT-00157,TARGETS,0.56,Isoler IT-00157 et appliquer les correctifs pour T1967.
CVE-2024-8582,IT-00325,TARGETS,0.64,Isoler IT-00325 et appliquer les correctifs pour CVE-2024-8582.
CVE-2022-9424,IT-07468,TARGETS,0.94,Isoler IT-07468 et appliquer les correctifs pour CVE-2022-9424.
T7721,IT-04297,TARGETS,0.94,Isoler IT-04297 et appliquer les correctifs pour T7721.
CVE-2021-6649,IT-01273,TARGETS,1.0,Isoler IT-01273 et appliquer les correctifs pour CVE-2021-6649.
T3106,IT-08974,TARGETS,0.66,Isoler IT-08974 et appliquer les correctifs pour T3106.
T7576,IT-07737,TARGETS,0.95,Isoler IT-07737 et appliquer les correctifs pour T7576.
T1044,IT-01682,TARGETS,0.98,Isoler IT-01682 et appliquer les correctifs pour T1044.
CVE-2023-5430,IT-01721,TARGETS,0.97,Isoler IT-01721 et appliquer les correctifs pour CVE-2023-5430.
CVE-2024-2800,IT-01976,TARGETS,0.6,Isoler IT-01976 et appliquer les correctifs pour CVE-2024-2800.
T3625,IT-04594,TARGETS,0.99,Isoler IT-04594 et appliquer les correctifs pour T3625.
CVE-2020-2673,IT-06562,TARGETS,0.73,Isoler IT-06562 et appliquer les correctifs pour CVE-2020-2673.
T4188,IT-01768,TARGETS,0.57,Isoler IT-01768 et appliquer les correctifs pour T4188.
T2362,IT-07929,TARGETS,0.75,Isoler IT-07929 et appliquer les correctifs pour T2362.
CVE-2021-4642,IT-00431,TARGETS,0.61,Isoler IT-00431 et appliquer les correctifs pour CVE-2021-4642.
T1044,IT-00333,TARGETS,0.89,Isoler IT-00333 et appliquer les correctifs pour T1044.
T6266,IT-02783,TARGETS,0.55,Isoler IT-02783 et appliquer les correctifs pour T6266.
T2728,IT-06878,TARGETS,0.53,Isoler IT-06878 et appliquer les correctifs pour T2728.
T9925,IT-09148,TARGETS,0.67,Isoler IT-09148 et appliquer les correctifs pour T9925.
CVE-2025-9974,IT-05000,TARGETS,0.67,Isoler IT-05000 et appliquer les correctifs pour CVE-2025-9974.
CVE-2020-2664,IT-04542,TARGETS,0.6,Isoler IT-04542 et appliquer les correctifs pour CVE-2020-2664.
CVE-2025-8035,IT-06266,TARGETS,0.91,Isoler IT-06266 et appliquer les correctifs pour CVE-2025-8035.
CVE-2024-2815,IT-01542,TARGETS,0.89,Isoler IT-01542 et appliquer les correctifs pour CVE-2024-2815.
CVE-2025-7522,IT-02247,TARGETS,0.94,Isoler IT-02247 et appliquer les correctifs pour CVE-2025-7522.
CVE-2020-2419,IT-02478,TARGETS,0.93,Isoler IT-02478 et appliquer les correctifs pour CVE-2020-2419.
T9087,IT-04446,TARGETS,0.95,Isoler IT-04446 et appliquer les correctifs pour T9087.
T2067,IT-06386,TARGETS,0.61,Isoler IT-06386 et appliquer les correctifs pour T2067.
T4504,IT-09776,TARGETS,0.81,Isoler IT-09776 et appliquer les correctifs pour T4504.
CVE-2024-5694,IT-03091,TARGETS,0.96,Isoler IT-03091 et appliquer les correctifs pour CVE-2024-5694.
CVE-2022-7018,IT-09443,TARGETS,0.87,Isoler IT-09443 et appliquer les correctifs pour CVE-2022-7018.
T3995,IT-06387,TARGETS,0.61,Isoler IT-06387 et appliquer les correctifs pour T3995.
CVE-2020-2796,IT-06361,TARGETS,0.86,Isoler IT-06361 et appliquer les correctifs pour CVE-2020-2796.
CVE-2020-7989,IT-08082,TARGETS,0.89,Isoler IT-08082 et appliquer les correctifs pour CVE-2020-7989.
T2511,IT-08724,TARGETS,0.73,Isoler IT-08724 et appliquer les correctifs pour T2511.
CVE-2025-5404,IT-02110,TARGETS,0.64,Isoler IT-02110 et appliquer les correctifs pour CVE-2025-5404.
CVE-2021-7016,IT-04541,TARGETS,0.87,Isoler IT-04541 et appliquer les correctifs pour CVE-2021-7016.
CVE-2023-4892,IT-04788,TARGETS,0.85,Isoler IT-04788 et appliquer les correctifs pour CVE-2023-4892.
T4925,IT-05255,TARGETS,0.58,Isoler IT-05255 et appliquer les correctifs pour T4925.
CVE-2022-9962,IT-06776,TARGETS,0.74,Isoler IT-06776 et appliquer les correctifs pour CVE-2022-9962.
CVE-2021-5000,IT-07200,TARGETS,0.88,Isoler IT-07200 et appliquer les correctifs pour CVE-2021-5000.
T2410,IT-09795,TARGETS,0.86,Isoler IT-09795 et appliquer les correctifs pour T2410.
CVE-2023-9047,IT-03941,TARGETS,0.92,Isoler IT-03941 et appliquer les correctifs pour CVE-2023-9047.
T9312,IT-06008,TARGETS,0.72,Isoler IT-06008 et appliquer les correctifs pour T9312.
CVE-2024-7814,IT-05963,TARGETS,0.79,Isoler IT-05963 et appliquer les correctifs pour CVE-2024-7814.
T3195,IT-06570,TARGETS,0.76,Isoler IT-06570 et appliquer les correctifs pour T3195.
T8359,IT-02072,TARGETS,0.94,Isoler IT-02072 et appliquer les correctifs pour T8359.
CVE-2021-7016,IT-06513,TARGETS,0.8,Isoler IT-06513 et appliquer les correctifs pour CVE-2021-7016.
CVE-2022-1778,IT-09451,TARGETS,0.97,Isoler IT-09451 et appliquer les correctifs pour CVE-2022-1778.
CVE-2021-5080,IT-00031,TARGETS,0.54,Isoler IT-00031 et appliquer les correctifs pour CVE-2021-5080.
T1654,IT-07986,TARGETS,0.74,Isoler IT-07986 et appliquer les correctifs pour T1654.
T4491,IT-01552,TARGETS,0.99,Isoler IT-01552 et appliquer les correctifs pour T4491.
CVE-2024-6937,IT-01462,TARGETS,0.64,Isoler IT-01462 et appliquer les correctifs pour CVE-2024-6937.
T9135,IT-04287,TARGETS,0.58,Isoler IT-04287 et appliquer les correctifs pour T9135.
CVE-2022-7827,IT-05304,TARGETS,0.98,Isoler IT-05304 et appliquer les correctifs pour CVE-2022-7827.
CVE-2025-9558,IT-08543,TARGETS,0.7,Isoler IT-08543 et appliquer les correctifs pour CVE-2025-9558.
CVE-2025-8617,IT-02047,TARGETS,0.55,Isoler IT-02047 et appliquer les correctifs pour CVE-2025-8617.
T1304,IT-02003,TARGETS,0.88,Isoler IT-02003 et appliquer les correctifs pour T1304.
T8813,IT-07337,TARGETS,0.78,Isoler IT-07337 et appliquer les correctifs pour T8813.
T2903,IT-04196,TARGETS,0.71,Isoler IT-04196 et appliquer les correctifs pour T2903.
T1523,IT-02343,TARGETS,0.77,Isoler IT-02343 et appliquer les correctifs pour T1523.
CVE-2020-6812,IT-02614,TARGETS,0.74,Isoler IT-02614 et appliquer les correctifs pour CVE-2020-6812.
T3106,IT-05366,TARGETS,0.54,Isoler IT-05366 et appliquer les correctifs pour T3106.
CVE-2023-1925,IT-08628,TARGETS,0.96,Isoler IT-08628 et appliquer les correctifs pour CVE-2023-1925.
T4188,IT-02790,TARGETS,0.8,Isoler IT-02790 et appliquer les correctifs pour T4188.
T2798,IT-03982,TARGETS,0.74,Isoler IT-03982 et appliquer les correctifs pour T2798.
CVE-2020-7719,IT-00023,TARGETS,0.69,Isoler IT-00023 et appliquer les correctifs pour CVE-2020-7719.
T5130,IT-05738,TARGETS,0.73,Isoler IT-05738 et appliquer les correctifs pour T5130.
T4666,IT-03634,TARGETS,0.77,Isoler IT-03634 et appliquer les correctifs pour T4666.
CVE-2025-9715,IT-04711,TARGETS,0.8,Isoler IT-04711 et appliquer les correctifs pour CVE-2025-9715.
T3555,IT-02174,TARGETS,0.83,Isoler IT-02174 et appliquer les correctifs pour T3555.
T6968,IT-09656,TARGETS,0.74,Isoler IT-09656 et appliquer les correctifs pour T6968.
CVE-2022-8754,IT-02260,TARGETS,0.69,Isoler IT-02260 et appliquer les correctifs pour CVE-2022-8754.
CVE-2021-5540,IT-00652,TARGETS,0.62,Isoler IT-00652 et appliquer les correctifs pour CVE-2021-5540.
CVE-2020-8730,IT-06860,TARGETS,0.88,Isoler IT-06860 et appliquer les correctifs pour CVE-2020-8730.
CVE-2025-8137,IT-04753,TARGETS,0.5,Isoler IT-04753 et appliquer les correctifs pour CVE-2025-8137.
CVE-2022-1778,IT-01912,TARGETS,0.94,Isoler IT-01912 et appliquer les correctifs pour CVE-2022-1778.
CVE-2023-4048,IT-09171,TARGETS,0.64,Isoler IT-09171 et appliquer les correctifs pour CVE-2023-4048.
T7181,IT-04463,TARGETS,0.83,Isoler IT-04463 et appliquer les correctifs pour T7181.
T9570,IT-06378,TARGETS,0.72,Isoler IT-06378 et appliquer les correctifs pour T9570.
CVE-2020-5970,IT-04217,TARGETS,0.61,Isoler IT-04217 et appliquer les correctifs pour CVE-2020-5970.
T9221,IT-06484,TARGETS,0.93,Isoler IT-06484 et appliquer les correctifs pour T9221.
T6869,IT-09744,TARGETS,0.71,Isoler IT-09744 et appliquer les correctifs pour T6869.
CVE-2024-9666,IT-07897,TARGETS,0.59,Isoler IT-07897 et appliquer les correctifs pour CVE-2024-9666.
CVE-2024-2709,IT-04852,TARGETS,0.65,Isoler IT-04852 et appliquer les correctifs pour CVE-2024-2709.
CVE-2020-4341,IT-08480,TARGETS,0.93,Isoler IT-08480 et appliquer les correctifs pour CVE-2020-4341.
T1053,IT-05058,TARGETS,0.98,Isoler IT-05058 et appliquer les correctifs pour T1053.
T5645,IT-01229,TARGETS,0.66,Isoler IT-01229 et appliquer les correctifs pour T5645.
CVE-2024-1398,IT-09182,TARGETS,0.51,Isoler IT-09182 et appliquer les correctifs pour CVE-2024-1398.
CVE-2023-1946,IT-05141,TARGETS,0.7,Isoler IT-05141 et appliquer les correctifs pour CVE-2023-1946.
T9171,IT-01605,TARGETS,0.84,Isoler IT-01605 et appliquer les correctifs pour T9171.
CVE-2024-3659,IT-00120,TARGETS,0.72,Isoler IT-00120 et appliquer les correctifs pour CVE-2024-3659.
T2228,IT-07521,TARGETS,0.85,Isoler IT-07521 et appliquer les correctifs pour T2228.
CVE-2024-1412,IT-00401,TARGETS,0.9,Isoler IT-00401 et appliquer les correctifs pour CVE-2024-1412.
CVE-2025-8137,IT-00277,TARGETS,0.75,Isoler IT-00277 et appliquer les correctifs pour CVE-2025-8137.
T2245,IT-00552,TARGETS,0.99,Isoler IT-00552 et appliquer les correctifs pour T2245.
CVE-2021-9112,IT-01451,TARGETS,0.67,Isoler IT-01451 et appliquer les correctifs pour CVE-2021-9112.
T2752,IT-03420,TARGETS,0.72,Isoler IT-03420 et appliquer les correctifs pour T2752.
T3608,IT-05012,TARGETS,0.71,Isoler IT-05012 et appliquer les correctifs pour T3608.
T7083,IT-00608,TARGETS,0.69,Isoler IT-00608 et appliquer les correctifs pour T7083.
T8179,IT-08982,TARGETS,0.98,Isoler IT-08982 et appliquer les correctifs pour T8179.
CVE-2022-9408,IT-06436,TARGETS,0.52,Isoler IT-06436 et appliquer les correctifs pour CVE-2022-9408.
T8517,IT-09396,TARGETS,0.51,Isoler IT-09396 et appliquer les correctifs pour T8517.
T9135,IT-02217,TARGETS,0.98,Isoler IT-02217 et appliquer les correctifs pour T9135.
CVE-2021-2075,IT-05826,TARGETS,0.66,Isoler IT-05826 et appliquer les correctifs pour CVE-2021-2075.
T2847,IT-01100,TARGETS,0.83,Isoler IT-01100 et appliquer les correctifs pour T2847.
T5267,IT-09577,TARGETS,0.74,Isoler IT-09577 et appliquer les correctifs pour T5267.
CVE-2025-2288,IT-09708,TARGETS,0.97,Isoler IT-09708 et appliquer les correctifs pour CVE-2025-2288.
CVE-2020-4205,IT-02829,TARGETS,0.96,Isoler IT-02829 et appliquer les correctifs pour CVE-2020-4205.
T7486,IT-08947,TARGETS,0.81,Isoler IT-08947 et appliquer les correctifs pour T7486.
